user_id,user_name,age,gender,email,passwords,latitude,longitude,interest_sports,interest_arts,interest_travel,interest_edu,travel_dist
74,Laksana Rahmawati,36,1,36mawati@gmail.com,Lak74-15795,-7.481285167,112.015795,0.5,0.2,0.6,0.8,>50 Km
75,Umi Laksita,29,0,29aksita@gmail.com,Umi75-73423,-7.744616927,109.6273423,0.1,1,0.4,0,>50 Km
76,Gaduh Aryani,21,0,21Aryani@gmail.com,Gad76-67351,-7.754284883,109.6167351,0.1,0,0.8,0.6,10-50 Km
77,Tira Zulkarnain,38,1,38arnain@gmail.com,Tir77-99463,-7.323681965,110.7299463,0.3,0.4,0.8,0.6,>50 Km
78,R. Yani Maheswara,20,0,20eswara@gmail.com,R. 78-80074,-6.87855884,112.1980074,0.3,1,0,0.6,<10 Km
79,Bagiya Wibowo,45,1,45Wibowo@gmail.com,Bag79-00164,-7.914216725,106.1600164,0.3,0.2,0.2,0,>50 Km
80,Cakrawala Waskita,51,1,51askita@gmail.com,Cak80-02216,-7.178519499,107.0402216,0.3,0,1,0.6,>50 Km
81,Virman Setiawan,49,1,49tiawan@gmail.com,Vir81-83907,-6.787493708,106.4283907,0.3,1,0.2,0.8,>50 Km
82,Laila Yolanda,44,1,44olanda@gmail.com,Lai82-28886,-7.946310965,108.7828886,0.1,0.2,1,0,>50 Km
83,Cemplunk Saragih,20,0,20aragih@gmail.com,Cem83-33964,-6.899520851,109.1433964,0.5,0.6,0.2,0.6,<10 Km
84,Intan Astuti,36,0,36Astuti@gmail.com,Int84-04704,-7.036882145,106.6204704,0.3,0.8,0.6,0,>50 Km
85,Puti Eka Prabowo,47,1,47rabowo@gmail.com,Put85-06009,-7.032111305,106.3406009,0.1,0,1,0.2,>50 Km
86,Indah Thamrin,39,0,39hamrin@gmail.com,Ind86-39576,-6.676791229,109.7439576,0.1,0,0.2,0.2,>50 Km
87,Hasim Waluyo,36,0,36Waluyo@gmail.com,Has87-46255,-6.648114029,106.2946255,0.5,1,0.2,0.2,>50 Km
88,Drs. Kunthara Sihombing,17,1,17ombing@gmail.com,Drs88-64894,-6.472743156,111.4264894,0.1,0.2,0.6,0.4,<10 Km
89,Jessica Yolanda,26,0,26olanda@gmail.com,Jes89-66512,-6.883808652,111.8366512,0.1,0,0.4,0.4,>50 Km
90,Alambana Pradipta,42,0,42adipta@gmail.com,Ala90-48284,-6.93203635,108.4648284,0.5,1,0.2,0.2,>50 Km
91,Betania Purwanti,33,0,33rwanti@gmail.com,Bet91-56164,-6.772095897,106.856164,0.3,0.2,0.4,0.6,>50 Km
92,Vanesa Prakasa,32,1,32rakasa@gmail.com,Van92-79322,-6.827495332,109.4679322,0.3,0.6,0.2,0.8,>50 Km
93,Tgk. Silvia Pudjiastuti,41,0,41astuti@gmail.com,Tgk93-44682,-7.909427856,106.444682,0.5,0.4,0.2,0.2,>50 Km
94,Kacung Usada,26,0,26 Usada@gmail.com,Kac94-82354,-7.568936457,110.5382354,0.3,0.6,0.4,1,>50 Km
95,Sutan Jaeman Yuniar,17,1,17Yuniar@gmail.com,Sut95-13862,-6.740603371,111.6413862,0.1,0.2,0.6,0.2,<10 Km
96,Calista Marpaung,50,0,50rpaung@gmail.com,Cal96-21258,-6.485162905,107.3621258,0.5,0.8,0,0,>50 Km
97,Cahya Hassanah,39,0,39ssanah@gmail.com,Cah97-93459,-6.617904773,109.9393459,0.5,1,0.6,1,>50 Km
98,Cut Novi Siregar,54,0,54iregar@gmail.com,Cut98-81684,-7.016094381,110.7181684,0.3,0.8,0.8,0.6,>50 Km
99,Nyana Pradana,33,1,33radana@gmail.com,Nya99-01633,-6.7259111,111.5601633,0.5,0,0.2,0.2,>50 Km
100,Rachel Prasetya,54,0,54asetya@gmail.com,Rac100-96138,-6.6726811,105.9296138,0.3,0.6,0.2,0.6,>50 Km
